ResponseId;MainBranch;Age;Employment;RemoteWork;Country;Currency;CompTotal;DevType;YearsCode;YearsCodePro;LanguageHaveWorkedWith;LanguageWantToWorkWith;JobSat;YearsCodePro_num;CurrencyCode;ToUSD;Salary_USD
579;I am a developer by profession;35-44 years old;Employed, full-time;Hybrid (some remote, some in-person);United Kingdom of Great Britain and Northern Ireland;"GBP	Pound sterling";59000.0;Developer, desktop or enterprise applications;13;10;C#;;;10.0;GBP;1.25;73750.0
1241;I am a developer by profession;35-44 years old;Employed, full-time;Remote;Afghanistan;"BHD	Bahraini dinar";1236.0;Developer, desktop or enterprise applications;25;16;C++;C++;;16.0;BHD;2.65;3275.4
1830;I am a developer by profession;18-24 years old;Employed, full-time;Remote;Netherlands;"USD	United States dollar";80000.0;Developer, full-stack;9;4;JavaScript;;;4.0;USD;1.0;80000.0
2441;I am a developer by profession;45-54 years old;Independent contractor, freelancer, or self-employed;Remote;Viet Nam;"VND	Vietnamese dong";40000000.0;Developer, game or graphics;16;12;C;;;12.0;VND;4.1e-05;1640.0
2509;I am a developer by profession;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);United States of America;"USD	United States dollar";180000.0;Developer, full-stack;14;6;Bash/Shell (all shells);;;6.0;USD;1.0;180000.0
2767;I am a developer by profession;35-44 years old;Employed, full-time;Hybrid (some remote, some in-person);Germany;EUR European Euro;162715.0;Cloud infrastructure engineer;32;25;;;;25.0;EUR;1.08;175732.2
3519;I am a developer by profession;25-34 years old;Employed, full-time;In-person;United States of America;"USD	United States dollar";150000.0;Developer, back-end;12;5;C++;;;5.0;USD;1.0;150000.0
3776;I am a developer by profession;55-64 years old;Employed, full-time;Hybrid (some remote, some in-person);Switzerland;"CHF	Swiss franc";150000.0;Developer, desktop or enterprise applications;38;32;Delphi;;;32.0;CHF;1.1;165000.0
4171;I am a developer by profession;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);Italy;EUR European Euro;42000.0;Developer, back-end;7;6;Apex;;;6.0;EUR;1.08;45360.0
4857;I am not primarily a developer, but I write code sometimes as part of my work/studies;25-34 years old;Employed, full-time;In-person;Italy;EUR European Euro;30000.0;Marketing or sales professional;7;2;HTML/CSS;;;2.0;EUR;1.08;32.400.000.000.000.000
5017;I am a developer by profession;25-34 years old;Employed, full-time;In-person;Turkey;"TRY	Turkish lira";50000.0;Developer, full-stack;6;3;C;;;3.0;TRY;0.03;1500.0
5460;I am not primarily a developer, but I write code sometimes as part of my work/studies;18-24 years old;Independent contractor, freelancer, or self-employed;In-person;Argentina;"PLN	Polish zloty";100000.0;Data or business analyst;10;18;;;;18.0;PLN;0.26;26000.0
6618;I am a developer by profession;55-64 years old;Employed, part-time;Remote;Germany;EUR European Euro;30000.0;Developer, full-stack;22;22;HTML/CSS;;;22.0;EUR;1.08;32.400.000.000.000.000
6747;I am a developer by profession;45-54 years old;Independent contractor, freelancer, or self-employed;Remote;Brazil;"BRL	Brazilian real";0.0;Developer, full-stack;10;7;HTML/CSS;;;7.0;BRL;0.2;0.0
7382;I am a developer by profession;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);United Kingdom of Great Britain and Northern Ireland;"GBP	Pound sterling";500000.0;Other (please specify):;17;11;Assembly;;;11.0;GBP;1.25;625000.0
